NAME_DOSE,NAME,DOSE,COST,,,,,,,,,,
Acetaminophen 325mg,Acetaminophen,325mg,$0.01,,,,,,,,,,
Aspirin 81mg,Aspirin,81mg,$0.01,,,,,,,,,,
Ibuprofen 400mg,Ibuprofen,400mg,$0.04,,,,,,,,,,
Naproxen 500mg,Naproxen,500mg,$0.05,,,,,,,,,,
Naproxen 250mg,Naproxen,250mg,$0.06,,,,,,,,,,
Codeine/Acetaminophen 30mg/300mg,Codeine/Acetaminophen,30mg/300mg,$0.04,,,,,,,,,,
Oxycodone/Acetaminophen 5mg/325mg,Oxycodone/Acetaminophen,5mg/325mg,$0.14,,,,,,,,,,
Morphine Extended Release 30mg,Morphine Extended Release,30mg,$0.66,,,,,,,,,,
Morphine Extended Release 15mg,Morphine Extended Release,15mg,$0.21,,,,,,,,,,
Morphine SR 30mg,Morphine SR,30mg,$0.42,,,,,,,,,,
Morphine SR 60mg,Morphine SR,60mg,$2.42,,,,,,,,,,
Hydromorphone 2mg,Hydromorphone,2mg,$0.09,,,,,,,,,,
Hydromorphone 4mg,Hydromorphone,4mg,$0.11,,,,,,,,,,
Oxycodone 5mg,Oxycodone,5mg,$0.14,,,,,,,,,,
Gabapentin 400mg,Gabapentin,400mg,$0.06,,,,,,,,,,
Gabapentin 600mg,Gabapentin,600mg,$0.58,,,,,,,,,,
Gabapentin 100mg,Gabapentin,100mg,$0.06,,,,,,,,,,
Gabapentin 300mg,Gabapentin,300mg,$0.08,,,,,,,,,,
Amitriptyline 10mg,Amitriptyline,10mg,$0.02,,,,,,,,,,
Amitriptyline 50mg,Amitriptyline,50mg,$0.02,,,,,,,,,,
Amitriptyline 25mg,Amitriptyline,25mg,$0.02,,,,,,,,,,
Pregabalin (Lyrica)- DO NOT PRESCRIBE. See TS for PDAP. 75mg, 100mg,Pregabalin (Lyrica)- DO NOT PRESCRIBE. See TS for PDAP.,75mg, 100mg,$3.16,,,,,,,,
Pregabalin (Lyrica)- DO NOT PRESCRIBE. See TS for PDAP. 25mg, 50mg,Pregabalin (Lyrica)- DO NOT PRESCRIBE. See TS for PDAP.,25mg, 50mg,$2.88,,,,,,,,
Duloxetine - DO NOT PRESCRIBE. See TS for PDAP. 75mg, 100mg,Duloxetine - DO NOT PRESCRIBE. See TS for PDAP.,75mg, 100mg,$3.16,,,,,,,,
Duloxetine - DO NOT PRESCRIBE. See TS for PDAP. 25mg, 50mg,Duloxetine - DO NOT PRESCRIBE. See TS for PDAP.,25mg, 50mg,$2.88,,,,,,,,
Fentanyl Patches - DO NOT PRESCRIBE. See TS for PDAP. 75mg, 100mg,Fentanyl Patches - DO NOT PRESCRIBE. See TS for PDAP.,75mg, 100mg,$3.16,,,,,,,,
Fentanyl Patches - DO NOT PRESCRIBE. See TS for PDAP. 25mg, 50mg,Fentanyl Patches - DO NOT PRESCRIBE. See TS for PDAP.,25mg, 50mg,$2.88,,,,,,,,
Liquid Morphine (roxanol) - DO NOT PRESCRIBE 75mg, 100mg,Liquid Morphine (roxanol) - DO NOT PRESCRIBE,75mg, 100mg,$3.16,,,,,,,,
Liquid Morphine (roxanol) - DO NOT PRESCRIBE 25mg, 50mg,Liquid Morphine (roxanol) - DO NOT PRESCRIBE,25mg, 50mg,$2.88,,,,,,,,
Calcium Carbonate 1250mg,Calcium Carbonate,1250mg,$0.05,,,,,,,,,,
Calcium Carbonate 648mg,Calcium Carbonate,648mg,$0.01,,,,,,,,,,
Cyanocobalamin tablets and injections 1250mg,Cyanocobalamin tablets and injections,1250mg,$0.05,,,,,,,,,,
Cyanocobalamin tablets and injections 648mg,Cyanocobalamin tablets and injections,648mg,$0.01,,,,,,,,,,
Folate 1mg,Folate,1mg,$0.01,,,,,,,,,,
Iron Sulfate 325mg,Iron Sulfate,325mg,$0.01,,,,,,,,,,
Ferrous gluconate 325mg 325mg,Ferrous gluconate 325mg,325mg,$0.01,,,,,,,,,,
Multivitamin ,Multivitamin,,$0.01,,,,,,,,,,
Potassium Chloride 20meq,Potassium Chloride,20meq,$0.25,,,,,,,,,,
Potassium Chloride 10meq,Potassium Chloride,10meq,$0.09,,,,,,,,,,
Pyridoxine B6 50mg,Pyridoxine B6,50mg,$0.01,,,,,,,,,,
Thiamine B1 50mg,Thiamine B1,50mg,$0.01,,,,,,,,,,
Vitamin D 400IU,Vitamin D,400IU,$0.01,,,,,,,,,,
Vitamin D2 Ergocalciferol 50000IU,Vitamin D2 Ergocalciferol,50000IU,$1.14,,,,,,,,,,
Vitamin D3 Cholecalciferol ,Vitamin D3 Cholecalciferol,,$1.00,,,,,,,,,,
Clotrimazole topical cream 15g,Clotrimazole topical cream,15g,$1.06,,,,,,,,,,
Bacitracin ointment 0.5% 1oz,Bacitracin ointment 0.5%,1oz,$3.21,,,,,,,,,,
Econazole nit cream 1% 15g,Econazole nit cream 1%,15g,$4.28,,,,,,,,,,
Erythromycin ophthalmic ointment 0.5% 1g,Erythromycin ophthalmic ointment 0.5%,1g,$5.90,,,,,,,,,,
Ketoconazole cream 2% 30g,Ketoconazole cream 2%,30g,$4.79,,,,,,,,,,
Econazole nitrate (Spectrazole) - DO NOT PRESCRIBE ,Econazole nitrate (Spectrazole) - DO NOT PRESCRIBE,,$4.79,,,,,,,,,,
,,,,,,,,,,,,,
Clindamycin 1% solution - DO NOT PRESCRIBE ,Clindamycin 1% solution - DO NOT PRESCRIBE,,$51.76,,,,,,,,,,
Tears Artificial Oph Soln 15mL ,Tears Artificial Oph Soln 15mL,,$17.13,,,,,,,,,,
Patanol - DO NOT PRESCRIBE. See TS for PDAP. ,Patanol - DO NOT PRESCRIBE. See TS for PDAP.,,$4.79,,,,,,,,,,
Penicillin V 250mg,Penicillin V,250mg,$0.07,,,,,,,,,,
Amoxicillin 500mg,Amoxicillin,500mg,$0.07,,,,,,,,,,
Amoxicillin / Clavulanate 875mg,Amoxicillin / Clavulanate,875mg,$0.80,,,,,,,,,,
Cephalexin 250mg,Cephalexin,250mg,$0.07,,,,,,,,,,
Cephalexin 500mg,Cephalexin,500mg,$0.10,,,,,,,,,,
Ceftriaxone ,Ceftriaxone,,$0.71,,,,,,,,,,
Clindamycin 150mg,Clindamycin,150mg,$0.07,,,,,,,,,,
Ciprofloxacin 500mg,Ciprofloxacin,500mg,$0.19,,,,,,,,,,
Ciprofloxacin 750mg,Ciprofloxacin,750mg,$0.28,,,,,,,,,,
Ciprofloxacin 250mg,Ciprofloxacin,250mg,$0.11,,,,,,,,,,
Levaquin 740mg,Levaquin,740mg,$0.47,,,,,,,,,,
Levaquin 500mg,Levaquin,500mg,$0.26,,,,,,,,,,
Levaquin 250mg,Levaquin,250mg,$0.24,,,,,,,,,,
Erythromycin 250mg,Erythromycin,250mg,$2.68,,,,,,,,,,
Azithromycin 250mg,Azithromycin,250mg,$0.64,,,,,,,,,,
Fluconazole 150mg,Fluconazole,150mg,$1.90,,,,,,,,,,
Fluconazole 50mg,Fluconazole,50mg,$0.06,,,,,,,,,,
Fluconazole 200mg,Fluconazole,200mg,$0.20,,,,,,,,,,
Fluconazole 100mg,Fluconazole,100mg,$0.53,,,,,,,,,,
Itraconazole 200mg,Itraconazole,200mg,$0.20,,,,,,,,,,
Itraconazole 150mg,Itraconazole,150mg,$0.37,,,,,,,,,,
Itraconazole 50mg,Itraconazole,50mg,$0.06,,,,,,,,,,
Itraconazole 100mg,Itraconazole,100mg,$0.53,,,,,,,,,,
Ketoconazole 200mg,Ketoconazole,200mg,$0.16,,,,,,,,,,
Metronidazole 250mg,Metronidazole,250mg,$0.03,,,,,,,,,,
Miconazole, 2% Vaginal Cream 1 tube,Miconazole, 2% Vaginal Cream,1 tube,$6.85,,,,,,,,
Isoniazid 300mg,Isoniazid,300mg,$0.15,,,,,,,,,,
