Supply Loc,Delivery Loc,Item No,Item Description,Vendor Name,Vendor Ctlg No,Mfr Name,Mfr Ctlg No,Comdty Name ,Comdty Code,Exp Code,Requisition No,Requisition Date,Issue Qty,UM,Price,Extended Price
SUPPLY LOCATION:,3927,S RX OP,,,,,,,,,,,,,,
COST CENTER:,2850600,2850600,EAST HARLEM OUTREACH PROJECT,,,,,,,,,,,,,
DELIVERY LOCATION: ,M 0184 PHARMACY OPD ANBG MC 214,,,,,,,,,,,,,,,
EXPENSE CODE:,4212,,,,,,,,,,,,,,,
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72955,TOBRAMYCIN/DEXAMETH 0.3%/0.1% OPHTH SUSP 5ML,AMERISOURCE CORP,181697,AMERISOURCE,65064705,OPHTHALMICS/GENERAL,CMDY10OP01,4212,1216418,01/06/15 12:45,1,EA,$71.59,$71.59
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72952,EPINEPHRINE 0.3MG AUTOINJECTOR,AMERISOURCE CORP,65255,AMERISOURCE,49502050002,ANTIDOTES,CMDY10AN01,4212,1220209,01/13/15 13:57,2,EA,$164.63,$329.25
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72901,LEVONORGST/ETH ESTRA 0.1/0.02,AMERISOURCE CORP,962062,AMERISOURCE,52544096728,CONTRACEPTIVES,CMDY10HR03,4212,1220910,01/14/15 14:21,28,EA,$0.48,$13.48
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,71573,NAPROXEN 500MG TAB NF,AMERISOURCE CORP,430577,AMERISOURCE,68462019001,ANALGESICS/NARCOTICS/ANTIPYRET,CMDY10CN02,4212,1222174,01/16/15 11:37,60,EA,$0.05,$2.90
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72295,ZOLPIDEM 10MG TAB 100S,AMERISOURCE CORP CONTROL DRUGS,616173,TEVA PHARMACEUTICALS,93007401,ANXIOLYTICS/SEDATIVES/HYPNOTIC,CMDY10CN05,4212,1226450,01/26/15 13:52,30,EA,$0.03,$0.77
S RX OP,M 0184 PHARMACY OPD ANBG MC 214,72955,TOBRAMYCIN/DEXAMETH 0.3%/0.1% OPHTH SUSP 5ML,AMERISOURCE CORP,181697,AMERISOURCE,65064705,OPHTHALMICS/GENERAL,CMDY10OP01,4212,1230629,02/10/15 16:05,1,EA,$71.59,$71.59
